,comment,aggression,attack,attn_words
0,you claim to be whatever that means and then accuse me of painting you as evil i need add nothing else to demonstrate the depth of and rational thought that you have to work with you confirm my assumption of christians note the you used is erroneous confused irrational angry and easily moved to your user page should be referenced as an example for,0.0444,0.0232,claim you to be whatever
1,united nations i wonder how long it will take for the proxy that i am using to get removed you see i am a troll and i have been clicking random article and doing minor spelling corrections editing only one word usually a word that is linked to a page and changing it to something funny example changing fish to shark and since i am only editing one word it the vandalism filters hahahaha so go ahead and block me see if i care because i will just find a new proxy and keep doing it i enjoy making work for reviewers and admin,0.0441,0.0225,nations united i wonder for
2,i am english i am i do not want to get blocked again fu k,0.2141,0.201,blocked i am english k
3,i will not even waste my time arguing with the mentally ill from wiki pt,0.2371,0.1812,mentally waste will not ill
4,1 june 2007 utc accepted long ago being a queer that censorship is ok to avoid he's really quite the a stepping homosexual 23 55,0.2307,0.1859,homosexual queer 1 a a
5,why is it the insists on screwing around with my articles have been doing the survivors for 18 months now have been the same format with naming the series all along and all of a sudden insists on vandalizing my articles yet he keeps doing it sigh sigh sigh i am getting sick and tired of nonsense have asked you on numerous occasions to put a stops to his crap and you have done nothing i demand that be blocked from wikipedia for his child like nonsense in playing a game on one ups everytime i work on an article he on playing these games if you do not block him for his nonsense then i want my request to have him blocked forwarded to an administrator who will see playing wikipedia editing games with other editors,0.2537,0.1676,screwing is why the it
6,to whoever enjoys vandalism and changing the county county boundaries are established by the state of california and unless you can show me the law that changed la to orange county then kindly go the hell away,0.2379,0.1776,vandalism to enjoys whoever and
7,mind your own business and stop changing messages to others that are not directed at you wikipedia is already a scam do not contribute to it,0.2396,0.1741,own your business mind and
8,you were too busy accepting sexual from michael lucas in for editing his bio the way he wants it did he rip you a new one it may be all fun and games now but wait until he tells you to do something that you don't want to do then you'll wish you had run far and fast when you had the chance too late now you'll see,0.2389,0.1743,sexual you busy were too
9,reason there is no information about 6 percent greeks in albania so you are a,0.0429,0.0339,reason no a is there
10,bite me that is all cunt,0.9588,0.957,cunt bite all is that
11,warning me if you dare to warn me i dont really give a rip i will delete them and keep on them i am making a new account so,0.2404,0.171,dare warning to a you
12,will arbitration finally be needed to stop the bigoted attacks i fear that certain editors here have not the recent warnings whatsoever and are proceeding full steam ahead with attempting to make this bible article a full one sided pov job with insulting inflammatory and derogatory being directed at all those who take this story seriously there is only one way to get this to end and that is with more level of arbitration we know there are anti christian and anti jewish bigots in the world always have been no doubt about that why do we have to allow them to come here and their non stop the way these sad look at christians and jews whom they always label with derogatory sounding labels like fundamentalist and conservative is of the way hitler felt about jews except these mental include christians as well involving a much greater proportion of the population as their target they are poisoning the environment with their bigotry this is a plea to arbitration for remedy,0.0419,0.0198,bigoted arbitration stop will the
13,user is a ha ha ha,0.1958,0.2096,a ha is ha user
