,comment,aggression,attack,attn_words
0,ur a,0.3901,0.3766,ur a
1,there was a lot of surrounding it which made me miss the essence initially and waste time but the central message was showing you your place you dirty we are the biggest even i can't agf that away,0.413,0.3526,dirty biggest the are a
2,cut the crap about reliable sources firstly is a peer reviewed journal your newspaper sources are tabloid crap and yet you claim they are reliable get a grip on things secondly makes no unsubstantiated claims the evidence is within this journal and the images reproduced within including those same images published in the media which are for the first time publicly identified correctly as being of a male and then a female now mr lets stick to what is on the public record and undeniable and repeated in and the media that is the drinking is a male and always has been me guess you know about and the thing in the museum is a female yes really go there and have a look for yourself and also a at the lovely pink socks it's wearing and how it lacks the bald of the male drinking let me guess you never looked at the relevant images now please for the time stop hacking up this page and reverting it to,0.4371,0.325,crap cut the about crap
3,i see you have such a low self esteem that you have to warn others not to attack you,0.4212,0.3439,a low esteem self such
4,sand nigger referring to the fact that they live in the desert,0.4054,0.3622,nigger sand the fact to
5,over applying questionable guidelines aren't anything but a of time why is it that every around here thinks they need to say wp that was very civil you should see the first three should be or shot what he did to the 180 article is mind so sorry don't agree read the above exchange a day or two back someone has to tell a fuck up the truth it's also free speech mine so thanks but i'll do what's right,0.4207,0.3457,fuck over questionable applying anything
6,center article be very reverting if you revert more than 3 times in 24 you will be blocked asap just a heads up so you don't get blocked,0.4023,0.3664,blocked center a blocked revert
7,wife her husband under the and approaches him the husband oh dear it was so dirty that i had to it so hard it almost hurts while making love he says let's do 68 68 what's that you do it to me and i'll owe you one wife and husband have bought with different i will turn off the light put one on and you guess the as soon as he turns off the light she takes it in the mouth and says wait it is not on yet two friends tonight i am going to organize a group sex session in my do you want to come of course how many people are coming three if you bring your girlfriend a little boy asked his mother why are you white and i am black don’t even ask me that when i remember that party you are lucky that you don’t one woman stops a to the airport please after ten minutes the driver watching the woman in the mirror says you are third pregnant woman that i have driven to the airport today are you kidding me i am not pregnant well you arrived to the airport yet neither one man calls emergency come immediately my little son has a after five minutes the same man calls back it is ok i found another one talks to daddy my dick is all and so i have no success with girls you know my son i didn’t care too much about that detail but that should not be a problem go to the shop take a and fix it after some time asks well did you resolve the problem with the girls daddy since i got the who needs the girls anymore 10 of the women had sex within the first hour of their first date 20 of the men had sex in a non traditional place 36 of the women favour 45 of the women prefer dark men with blue eyes 46 of the women experienced anal sex 70 of the women prefer sex in the morning conclusion speaking you have a better chance of having anal sex in the morning with a strange woman in the forest than to have sex in the office at the end of the day 80 of the men have never experienced homosexual relations 90 of the women would like to have sex in the forest 99 of the women have never experienced sex in the office goes to the doctor and says doctor i've got a bit of a problem i'll have to take my clothes off to show you the doctor tells her to go behind the screen and she does so and the doctor goes round to see her when she is ready well what is it he asks it's a bit embarrassing she replies these two green circles have appeared on the inside of my the doctor her and finally admits he has no idea what the cause is then he suddenly asks is your boyfriend a rider the woman and says well actually he is that's the problem the doctor says tell him his aren't real gold,0.4302,0.3373,wife her husband sex dirty
8,bullshit the were much greater than those carried out by the whites and also had the effect of production by the it was this secondary effect that caused the famine because so much of the land was allowed to stay as for et al they are probably relying on official data from the soviet government that was purposely to the people,0.4227,0.3461,bullshit were the much greater
9,don't worry about him he's just a troll,0.3926,0.3789,troll don't a he's worry
10,question i guess your silence is all the we need mr you did receive a testimony you do hate our freedom and that is why you did wtc,0.4294,0.339,your is wtc a all
11,you're fighting a losing battle this guy is a fanatic who all viewpoints other than his own no rational questions whether jesus lived or not rather such talk is just an attempt to the spiritual beliefs of others his motive is simple and obvious the dude you are fighting is so of any spiritual life and empty inside that he feels the need to attack others to better convince himself of his own,0.4355,0.3334,you're a a fanatic losing
12,irish guy it takes a second to to the and get a new ip address you are wasting your time is that all you do go around and try to police people are you a security guard who was denied entry into the police academy,0.4226,0.3487,wasting a guy a second
13,hail he while you fail you will never defeat him,0.4356,0.335,defeat hail will he you
14,hello why your nose you're lucky george but i have no luck out what and i am still no one to admire she is your yes it is and what you think now we with her ah thumb left,0.3961,0.3789,you're nose lucky your george
15,honestly i don't mind an that fact that you view jew as a personal attack implies that it's rude although you are a christian so what more can i expect jew if you ban me i'll just go back to ed it's fine with me but he's not an australian so fix it up and get your facts right go get a life,0.4197,0.357,honestly a don't a a
16,and afterwards i read this user is carlos by are you friends then thank you carlos and yes thank you carlos in the end drops by to thank everyone nice community how knowing he's carlos next question where do i read be not obnoxious when i'm not wrong and only unblocking also it is incorrect that i should read these among other persons excluding me without knowing about if all of you want to force me into excuses or without reading please this site forever your behaviour is like a bunch of liars mind the word bunch,0.4306,0.3453,liars a and of behaviour
17,why not some dirty maybe or a dirty story,0.4332,0.3428,dirty dirty a why some
18,beware your gonna get it,0.4233,0.3546,your beware gonna get it
19,edit and crappy journalism,0.4251,0.3531,crappy and journalism edit
20,something else to think about such blocking leaves me but i must point out that you are bald,0.4169,0.3632,bald blocking something else are
21,i am so in support of on this one is such an arrogant wikipedia nazi and so trying hard to be a wikipedia policy police,0.4449,0.3314,arrogant nazi wikipedia an i
22,you too man take care,0.4037,0.3787,care man you too take
